Name,Website,Logo URL,Opportunity Space,Overview,Problem,Solution ,Location,Funding Round,Funding Amount,Employees,Year Founded
Solidia,https://www.solidiatech.com/,http://www.cleantech.com/wp-content/uploads/2014/09/solidia-technologlies-logo-300x120.png,Decarbonisation,Solidia technologies  sequesters CO2 by injecting it into concrete during the concrete manufacturing process transforming it into a more durable and flexible product. ,Very costly and expensive to replace entire cement production processes and equipment with greener alternatives.,Solidia develops retrofit solutions for both large and small scale concrete producers giving them a competitive edge without losing out on any parameters.,USA,Series C,$27m,64,2008
Satellogic,https://satellogic.com/,https://s3.amazonaws.com/i3.cleantech/uploads/company/company_logo/61/404361/satellogic.png,Exploration,"Satellogic uses satellite technology to provide solutions for forestry, agriculture, energy as well as finance and insurance",Difficult for mining industry to gain insights based on satellite visual data from a macro level.,Satellogic uses vertically integrated satellite technology to provide mining companies with tools to analyse image data.,Argentina,Series B,$39m,162,2010
DeepGreen,https://deep.green/,https://dsmobserver.com/wp-content/uploads/2018/08/download.jpg,Exploration,"DeepGreen is a leading producer of base and strategic metals obtained from vast high-grade seafloor polymetallic nodule deposits containing nickel, manganese, copper and cobalt.",Mining metals on the sea floor is difficult given the harsh conditions and lack of technology for node detection.,DeepGreen uses sesors to collect nodules of metal that are already found on the sea floor making the process less disruptive,Canada,Series C,$154m,21,2015
The Cloud Miner,https://www.thecloudminer.com/,https://www.thecloudminer.com/assets/cloud_miner_logo-b27f90cc9de4235453f9565cc48204e0171b26cb647b2cdf0264c5721c61d073.png,Exploration,The Cloudminer has developed a SaaS-based analytics software for exploration; pre-production projects. ,Mining companies often do not have the tech infrastructure to aggregate data and make strategic decisions across multiple mine locations.,"CloudMiner evaluates assets within an environment that use the aggregated data from 37,000 mines across multiple commodity markets. Claims to deliver 40X time savings and 7x cost savings.",China,Undisclosed,Undisclosed,8,2018
Toggle,https://www.toggle.is/,https://raw.githubusercontent.com/RainmakingInnovation/Private_FLSRadarFull/master/assets/logos/toggle.jpg,Automation,Toggle provider of automation solution for rebar fabrication. The company provides software solutions for the digital fabrication of reinforced concrete structures.,Production of reinforced concrete is oftentimes dangerous for human labourers.,Provides design and manufacturing software with industrial robotics hardware to digitally fabricate rebar steel cages. Helps to improve the accessibility and affordability of large scale civil infrastructure through prefabricated and onsite robotic construction solutions.,Iceland,Seed,$3.6m,10,2016
Intsite,http://intsite.ai/,https://s3.amazonaws.com/owler-image/logo/intsite-ltd_owler_20190919_231203_original.jpg,Automation,IntSite is an AI-based solution that enables construction companies to automate the use of cranes. ,Heavy machine operation is usually manual so the operations cannot run 24/7. ,"The technology lets users collect data from the crane, control it, increase efficiency by allowing it to operate 24/7, and more.",Israel,Seed,$1.35m,4,2017
Semlbr,https://semblr.tech/,https://images.squarespace-cdn.com/content/583e18a4f5e2313f41cf1f2b/1563969489990-XZ23TP00W0MWMTNF3D94/SemblrLogoHorizontalWhiteBackground.png?content-type=image%2Fpng,Automation,Semblr is a developer of robots to automate the construction process,Repetitive construction tasks often are time consuming for human labourers.,The company automates on-site tasks using robot-oriented BIM workflows and on-site construction robots. ,UK,Unfunded,Unfunded,2,2014
Quartz,http://quartz.co/,https://images.squarespace-cdn.com/content/v1/5a77697f1f318d63a92f5d07/1580432576969-PCOOF26AT3QA2OD3PHDW/ke17ZwdGBToddI8pDm48kMtRwi1LOS9hOq5A3hmekfhZw-zPPgdn4jUwVcJE1ZvWEtT5uBSRWt4vQZAgTJucoTqqXjS3CfNDSuuf31e0tVG7TfzNctUu4wsye_poFe6yriyr301aE6RUKyCnCO5c_aHGaKWqc1-RQYCR5jZ0tXM/quartz-for-concrete-logo.jpg,Safety,Quartz Robotics provides a computer vision based construction site tracking & monitoring solution.,Construction workers don't have full visibility of the environment and potential dangers associated with tasks,"The hardware & software composite system identifies, tracks, and predicts equipment moving on the construction site. The system assists crane operators in real-time via 4K streaming videos.",USA,Undisclosed,Undisclosed,15,2011
Clickmox Solutions,https://www.clickmox.com/,"https://static.wixstatic.com/media/a5aa36_978fb5ab160548758aff43f23669e9b4~mv2.png/v1/crop/x_0,y_7,w_341,h_122/fill/w_364,h_132,al_c,lg_1,q_85/a5aa36_978fb5ab160548758aff43f23669e9b4~mv2.webp",Safety,"Clickmox Solutions is a provider of high tech products for the mining industry such as 3D LiDAR scanning, robotics, drones, geotechnical monitoring, point cloud data processing, convergence monitoring, and simulations.","Mining operations sometimes comprise of unstable, underground environments in which the security of foundations is largely unknown.","Products include monitoring system for depth of stress-induced fractures in underground mine openings, development of a robust borehole clearance robot, and drones for underground mines.",Canada,Unfunded,Unfunded,9,2011
SmartCap,http://smartcaptech.com/,http://www.smartcaptech.com/wp-content/themes/em-smartcaptech/library/images/logo.png,Safety,"SmartCap is the developer of Life, a fatigue monitoring wearable that can be integrated into any headwear. ",Long shifts being run by workers on-site can cause fatugue and increase the likleyhood of fatalities.,The wearable technology uses EEG technology to measure brain activity to determine an individual's alertness and fatigue levels. Real-time alertness readings are sent via Bluetooth to the Life App.,Australia,Undisclosed,Undisclosed,25,2009
Huishoubao,https://www.huishoubao.com/,https://s1.huishoubao.com/static/pc/1001/img/logo.png,Circular Economy,Huishoubao provides an online platform to sell or recycle old phones for cash. Users can get an immediate estimate of their phones value and choose to redeem them at the value proposed by the company. ,Overconsumption of products has led to a shortage of unnatural resources. Encouraging recycling is necessary in contributing to a circular production process. ,"Users can get an immediate estimate of their phones value and choose to redeem them at the value proposed by the company, demonstrating a way to engage with customers and propose values for replacement products. ",China,Series C,$60.5m,5,2014
AMP Robotics,https://www.amprobotics.com/,https://raw.githubusercontent.com/RainmakingInnovation/Private_FLSRadarFull/master/assets/logos/amprobotics.jpg,Circular Economy,"AMP Robotics has developed an artificial intelligence-based waste sorting robot which picks recyclable materials off a conveyor belt in mixed waste, construction & demolition waste, and e-waste facilities.","Large deposits of waste require a large volume of time and resources to sort, remove and recycle. ",AI-technology is used to identify the waste material and machine learning platform keeps record of types of materials identified.,USA,Series A,$22m,49,2015
Recybeton,https://www.pnrecybeton.fr/en/,http://www.pnrecybeton.fr/wp-content/uploads/2015/04/logo_RECYBETON_2014.png,Circular Economy,"The aim of the National Project for Research and Development RECYBETON is to re-use all the materials of deconstructed concrete, as components of new concrete or hydraulic binders, including the fine particles.",Changing the traditional construction process to accomodate new (or old) materials requires a constant supply source and production change. ,The first subject “technologies and processes” will focus firstly on “sorting” aiming to separate the various inert materials generated by deconstruction and hence avoid mixing them with other materials. ,France,Unfunded,Unfunded,Undisclosed,2005
Tradewind,https://www.tradewindmarkets.com/,https://raw.githubusercontent.com/RainmakingInnovation/Private_FLSRadarFull/master/assets/logos/tradewind.png,Supply,"Tradewind Markets is technology and trading venture in the financial markets based on trust, transparency, and integrity. ",The financial services market lacks clarity on a companies ethical obligations and actions.,Using distributed ledger technology they plan to launch a gold bullion product that taps liquidity of existing markets and a distributed blockchain based settlement system.,USA,Series A,$22m,103,2016
Concora,https://concora.com/,https://40eirw4ba6333i5rzo1689z0-wpengine.netdna-ssl.com/wp-content/uploads/2019/09/Concora_Logos_MW-01.png,Supply,"Concora provides BIM content creation and discovery, BIM tools, and AEC market intelligence for building and manufacturing communities.",Not being able to convey project designs and the impact of changes on the local environment can hinder adoption. ,"The Concora platform is a comprehensive solution that helps building product manufacturers more effectively market their products to Architects, Engineers, and Contractors.",USA,Series A,$6.1m,41,2010
Open Mineral,https://openmineral.com/,https://static.tildacdn.com/tild6632-3462-4434-a666-393466666132/Logo-Black_SVG.svg,Supply,"Open Mineral is a cloud-based exchange that provides a solution to trade physical commodities such as base metal and raw materials like zinc, lead, copper, gold, and silver.",Contract negotiations for phycial commodity trading can be time consuming and expensive,Open Mineral also includes analytical tools that provide a solution to streamlines contract negotiations and execution to increase efficiency and profitability for the participants.,Switzerland,Series B,$7.1m,19,2017
Sensohive,https://sensohive.com/,https://raw.githubusercontent.com/RainmakingInnovation/Private_FLSRadarFull/master/assets/logos/sensohive.png,Construction,Software solution for construction companies and precast element productions to monitor the curing process of concrete. ,"Accurate concrete curing is essential to the production process, requiring an understanding of duration and cost","Maturix™, developed by Sensohive, enables easy and affordable monitoring of concrete curing in real-time – all showed in a user-friendly software solution. ",Denmark,Seed,$0.8m,12,2014
RENCA,renca.org,https://static.tildacdn.com/tild6463-3462-4531-b865-303839616631/renca_logo.png,Construction,RENCA manufactures geopolymer based cement for construction applications.,"Cement materials need to be cheaper and quicker to produce, whilst holding the same properties as traditional portland cement.","The cement features include fire resistance (up to 1200°C), acid/sulfates/salts resistant, thermal insulation, high compression (120MPa), and water protection.",Russia,Unfunded,Unfunded,10,2014
Green Sulfcrete,http://www.sulfcrete.com/,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_120,w_120,f_auto,b_white,q_auto:eco/v1416438928/wvr97oohp9dfmhka512u.png",Construction,Green Sulfcrete is an energy firm that manufactures concrete products. It produces sulfur-polymer concrete substances that are recycled from gas and oil refineries. ,"Cement materials need to be cheaper and quicker to produce, whilst holding the same properties as traditional portland cement.",Sulfcrete is commercializing a Next Generation Sulphur Polymer Cement under an exclusive License from the US Department of Energy and Brookhaven National Laboratory.,USA,Seed,$1.2m,Undisclosed,2012
Relayr,https://relayr.io/,https://raw.githubusercontent.com/RainmakingInnovation/Private_FLSRadarFull/master/assets/logos/relayr.png,Specialist Services,"Unleash data insights from existing equipment, machines and production lines to improve customers’ business outcomes. ","Equipment requirements for mining operators is extremely capital intensive, with limited alternate commerical options beyond flat-purchase ","Enable industrial companies to shift from CAPEX to OPEX-based offerings to their respective markets, providing IIoT technology with financial and insurance offerings. ",Germany,Acquired,$100m,204,2013
Fictiv,https://www.fictiv.com/,https://uploads-ssl.webflow.com/5881ca284ac19f852fa47c23/58879b7856f7017875788c51_fictivdark-beab86eca92c4750452a538a9d567f5d.svg,Specialist Services,"Fictiv's Global Manufacturing Network is a single access point for fast, quality parts, from prototype to production.","Large industrial equipment comprises of many complex parts. If repair or replacement is required, it can have a significant impact on project timelines and cost.",Fictiv can iterate quickly on early stage designs with 3D printed parts delivered as fast as 24 hours.,USA,Series C,$58m,120,2013
3YourMind,https://www.3yourmind.com/,https://raw.githubusercontent.com/RainmakingInnovation/Private_FLSRadarFull/master/assets/logos/3yourmind.jpg,Specialist Services,3YOURMIND provides platforms to streamline industrial 3D printing for innovative companies and 3D print services. ,"Large industrial equipment comprises of many complex parts. If repair or replacement is required, it can have a significant impact on project timelines and cost.",3YourMind's Enterprise platform digitizes the organization of 3D production flows to become the leader in industrial 3D printing software. ,Germany,Series A,$14.5m,59,2014
