Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Country,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
RebelModule,rebelmodule.com,"Industry : Construction.
RebelModule provides modular constructed structures for building houses, hotels, restaurants, offices, clinics, and kindergartens. Customers can choose designs from their catalogue, pick standards, equipment and furnishing details, and sign contract to get the constructed structure delivered. Customers can choose floorings like wood, carpets, tiles, and equipment like kitchen and bathroom fittings, doors, windows and LED lighting. Claims to provide a 30 years of warranty.
",Seed,"$500,000",Construction,Emerging,2015,Poland,Alternative,FALSE,,,,
Concrete Sensors,https://concretesensors.com/,"Concrete sensors has developed sensors which when attached to the RE bars shares data about the concrete health to the users smartphone. Sensor detects concrete moisture, relative humidity and real time monitors the concrete strength thus eliminating long testing procedures.",Seed,"1,700,000",Construction,Existing,2015,USA,Cement,TRUE,,,,
Concreative,https://www.concreative.me/,"Concreative provides 6-axis arm 3D printer that can print the element of 4.5m height and 6m length in one shot. The company also offers concrete material that claims to offers high performance, and cures in less time (20 hrs). In addition, the concrete material does not offer drying shrinkage. The company also provides services for design, modeling, and site assistance.",Unfunded,n/a,Construction,Distant,2018,United Arab Emirates,Cement,TRUE,,,,
Katerra,katerra.com,End-to-end construction solutions and services provider,Series D,"1,940,666,360",Construction,Existing,2015,USA,Cement,TRUE,,,,
Manufacton,https://www.manufacton.com/,"Industry : Construction.
Our cloud-based software helps you manage the entire design-manufacturing-construction (DMC) workflow—from planning, to design, to manufacturing, and shipping. Increase productivity and efficiency with a single integrated view into production, scheduling, materials management, and embedded QA.",Series A,"3,460,000",Construction,Existing,2014,India,Alternative,TRUE,,,,
Kewazo,https://www.kewazo.com/,"Improving on-site construction logistics through robotics and data analytics. Kewzo offers smart robotic elevators for construction sites and industrial plants, with the first application focus being scaffolding assembly. Its robotic system enables flexible, cost-efficient and safe transportation of scaffolding parts during assembly. The platform will next focus on material transport in construction trades and industrial applications.",Seed,"1,200,000",Construction,Emerging,2016,Germany,Both,TRUE,,,,
Rebartek,https://rebartek.com/,Automatization of rebar-cage prefabrication with industrial robots. The robotic manufacturing process enables them to deliver high-quality rebar cages to construction sites on short notice. ,Seed,"250,000",Construction,Distant,2018,Norway,Both,TRUE,,,,
Cobod,https://cobod.com/,"Manufacturer of 3D concrete construction printers for automated processes at job sites. Cobod strives towards full automation in the construction industry by designing robotic 3D construction printers and automated processes for the building site. In collaboration with FORCE Technology, we have developed a strong and sustainable recipe for the concrete mix, utilizing recycled materials.",Undisclosed,Undisclosed,Construction,Emerging,2017,Denmark,Cement,TRUE,,,,
Infarm,https://infarm.com/,"Infarm is a Berlin-based company that develops a vertical indoor farming system that could be implemented in supermakets, restuarants, local warehouse, or even schools. Infarm's controlled ecosystem is implemented through a cloud-based platform that could adjust, learn and improve itself continuously. Thus, optimal conditions will be set so as to maximize the tastiness of plants.",Series B,"134,100,000",,Existing,2013,Germany,Both,FALSE,,,,
3D Maritime Additive Manufacturing,https://www.dnvgl.com/news/dnv-gl-awards-thyssenkrupp-first-additive-manufacturing-approval-of-manufacturer-certificate-156505,"The shipping industry is looking to take advantage of additive manufacturing (AM), also known as 3D printing. Thyssenkrupp TechCenter Additive Manufacturing is now the world’s first producer of 3D printed parts for maritime applications to obtain manufacturer approval from DNV GL.",Unfunded,n/a,Construction,Distant,2019,Norway,Cement,TRUE,Thyssenkrupp,Activity,,2019
BIManywhere,https://www.bimanywhere.com/,"BIManywhere mobile app for Apple iPad mobile devices provides easy and intuitive access to BIM model information anywhere on the construction job site. BIManywhere application inputs a 3D and 2D (optional) model of a building and helps the users in navigating intuitively, raising & tracking issues, creating markups, measuring dimensions, and more. Recipient of GOLD Award, Constructech 2013 Vision Award and 2012 Fiatech CETI Award",Acquired,Undisclosed,Build,Existing,2012,USA,Both,TRUE,,,,
Struction Site,https://www.structionsite.com/,"StructionSite solves the site capture problems of today with an easy-to-use platform that lets you seamlessly track a project’s progress, no matter where you are. Automated site capture that translates daily project updates into actionable insights.",Seed,"1,500,000",Build,Emerging,2016,USA,Both,TRUE,,,,
Disperse,disperse.io,"Disperse is a provider of artificial intelligence-based construction site monitoring solutions and services. Claims to use computer vision and visual recognition techniques to record, monitor, track, and inspect construction progress. Construction project managers, contractors, and building owners can use the platform for audit trailing, progress tracking, monitoring, and as-built inspection work. The system can also be integrated with Revit, Navisworks, Microsoft Project, Asta Powerproject, and Synchro PRO.",Series A,"16,700,000",Build,Emerging,2015,United Kingdom,Both,TRUE,,,,
Astralink,https://www.astralink.io/,"Astralink has developed an Augmented Reality (AR) solution for construction sites to detect and prevent construction errors in real-time. Available as a software, the product helps contractors and real-estate developers to augment the digital blueprints in real locations inside the construction site and then it uses proprietary computer vision & deep learning algorithms to detect mismatches between as-built and the BIM model throughout the construction project life cycle. Claims that product can be operated from a standard tablet and does not require any prior training",Seed,"1,000,000",Build,Emerging,2015,Israel,Both,TRUE,,,,
Finalcad,finalcad.com,Mobile-first quality management for construction projects,Series C,"63,000,000",Build,Existing,2011,France,Both,TRUE,,,,
Siteaware,https://www.siteaware.com/,"SiteAware provides continuous quality inspection reports of buildings under construction, as well as completed buildings. We scan facades and the building’s structure (decks), compare as-built to plans and verify the quality requirements. We provide an inspection report that confirms the quality of execution and highlights issues which should be addressed. The digital inspection is provided as a turn-key service. SiteAware performs the data capture using drones-robots and other sensors, computer vision, AI and the a detailed quality conformation report.

transforms ordinary consumer drones into powerful construction equipment, delivering precise and comprehensive construction site data. Project monitoring and site management are improved through the 3D data provided by their autonomous – and situation-aware – drones.",Series A,"1,500,000",Build,Emerging,2015,Israel,Both,TRUE,,,,
Geniebelt,https://geniebelt.com/,"Danish startup GenieBelt created a project management software for the construction industry. The interface bundles a few valuable features such as all necessary information about a project, communications, live monitoring, web & mobile access as well as easy-to-perceive reporting material.

Construction projects never go to plan. Delays and changes cause havoc on-site, teams work to different programmes. GenieBelt connects the programme to project teams in real time, enabling everyone to communicate and collaborate effectively and rally around the plan.",Series A,"3,400,000",Build,Emerging,2013,Denmark,Both,TRUE,,,,
PlanGrid,https://www.plangrid.com/gb/,"Leader in construction productivity software. Access all project information from wherever you are. From drawings and specifications to snag lists, documents, and photos, PlanGrid is your single source of truth. Instantly distribute drawings and documents that are automatically hyperlinked, versioned in order, and easily searchable with full sheet search. ",Acquired,"69,100,000",Build,Existing,2011,USA,Both,TRUE,,,,
Rhumbix,https://www.rhumbix.com/,"Intuitive tools for the field and office
The Rhumbix mobile app is built field-ready with easy-to-use tools for capturing and sharing field data while the web app enables the home office to stay connected throughout the project.

Rhumbix develops a mobile platform designed for the construction craft workforce. It modernizes construction field operations, helping builders go paperless in the field and improving how they measure and manage labor productivity to be more profitable. Rhumbix was founded in 2013 and is headquartered in San Francisco, California.",Series B,"34,900,000",Build,Existing,2014,USA,Both,TRUE,,,,
Fieldlens,https://fieldlens.com/,Fieldlens offers a tool that improves communication and collaboration for construction project teams,Acquired,"12,900,000",Build,Existing,2011,USA,Both,TRUE,,,,
BuildUp,https://buildup.co/,"Construction Software for Punch List and Task Management
Improve quality, lower costs and shorten timelines. Streamlines communication and issue resolution between owners/developers, construction teams and subcontractors",Series A,"8,600,000",Build,Emerging,2013,Israel,Both,TRUE,,,,
Assignar,https://www.assignar.com/,"Assignar is a SaaS platform that helps construction contractors run their operations by improving productivity, efficiency and safety. Schedule crews and equipment, manage compliance quality and safety, and monitor progress from a single platform. ",Series A,"10,700,000",Build,Emerging,2014,Australia,Both,TRUE,,,,
BulldozAIR,https://www.bulldozair.com/,"Construction app to deliver your projects on time & on budget.
BulldozAIR is a project management platform for your construction teams.",Seed,"1,200,000",Build,Emerging,2012,France,Both,TRUE,,,,
SiteSee,https://www.sitesee.io/,"Know whether build matches design. Reduce site visits and improve design, build or maintenance workflows by understanding the real world as-built condition of your infrastructure.  Measure, inspect and compare records online - or automate manual processes by leveraging SiteSee's world leading AI Audit Engine, an artificial intelligence equipment recognition technology and condition assessment technology.",Seed,"60,000",Build,Distant,2016,Australia,Both,TRUE,,,,
Ipsum,https://www.ipsumapp.co/en/,Web and mobile platform for managing engineering and construction projects,Seed,"1,100,000",Build,Emerging,2014,Chile,Both,TRUE,,,,
Unearth,https://unearthlabs.com/,"Unearth improves productivity in construction by providing a revolutionary collaboration software powered by IoT and remote sensing.
Track progress, avoid rework, eliminate disputes
OnePlace™ gives construction teams a more intuitive way to manage information. Combine photos, blueprints, drone surveys, and more. Create a comprehensive map of your project and consolidate all your construction data in one simple GIS platform.",Series A,"11,300,000",Build,Emerging,2016,USA,Both,TRUE,,,,
Avvir,https://avvir.io/,"Avvir unleashes the latent potential of BIM technology by finally closing the feedback loop and keeping building models continuously up-to-date. This enables construction teams to closely monitor progress and catch mistakes before major rework is required. We achieve this by automating the processes around data acquisition, visualization, and analysis, so that BIM updates can be made in hours rather than weeks.

We provide you with real-time insights to protect your project from budget and schedule overruns.",Seed,"2,500,000",Build,Emerging,2017,USA,Both,TRUE,,,,
Ynomia,https://ynomia.io/,"We offer a simple end-to-end technology solution that creates a connected jobsite. Giving worksite personnel the ability to locate materials, tools, and people across the site in real time - we put the supply chain in the hands of the builders.",Seed,"3,600,000",Build,Emerging,2017,Australia,Both,TRUE,,,,
SAALG Geomechanics,https://www.saalg.com/,"AI-enabled project monitoring solutions for the construction industry. We specialize in real-time geotechnical monitoring data analysis to minimize risk, save time and maximize the profit of your construction project. The software provides real-time analysis of the behavior of the ground during civil works and large building projects.",Undisclosed,Undisclosed,Build,Emerging,2016,Spain,Both,TRUE,,,,
PlanRadar,https://www.planradar.com/,"SaaS solution for documentation and communication in construction and real estate projects e.g. construction documentation, task and defect management. due diligence, etc.).",Undisclosed,Undisclosed,Build,Existing,2013,Austria,Both,TRUE,,,,
RealWear,https://www.realwear.com/,"RealWear has created a wearable industrial headset that connects workers to augmented reality programs on worksites. The wearable improves productivity and safety in the workplace. It offers three different types of headsets, which snap on to hard hats and provide on-site access to AR apps and other programs. The sets are voice-controlled and project to a small virtual Andriod tablet right below eye level.",Series B ,"100,000,000",Build,Emerging,2016,USA,Both,TRUE,,,,
Prysmex,http://www.prysmex.com,"Prysmex makes real-time workforce intelligence, accident detection and mitigation possible in construction, mining and petrochemical industries. They have designed an intelligent industrial wearable that can locate in real time workers, register worked hours, alarm accidents, detect inactivity, ensure usage of PPE and efficient planning. Some other functionalities are detecting hazardous gases, intense temperatures and restricted worked zones. Currently they are in the prototyping phase.",Undisclosed,Undisclosed,Safety,Existing,2015,Mexico,Both,TRUE,,,,
Quartz,quartz.co,"Quartz Robotics provides a computer vision based construction site tracking & monitoring solution. The hardware & software composite system identifies, tracks, and predicts equipment moving on the construction site. The system assists crane operators in real-time via 4K streaming videos.",Undisclosed,Undisclosed,Safety,Distant,2011,USA,Both,TRUE,,,,
Smartvid,smartvid.io,"Smartvid is building a platform to manage and analyze the photos and videos taken by the field workers and drones using machine learning, image and speech recognition, and also track progress and complete assessment of sites. Starting in the architecture, engineering, and construction industry, the company has five Alpha customers and is launching a private Beta in the Fall of 2015.",Series A,"18,109,453",Safety,Existing,2015,USA,Both,TRUE,,,,
GLARTEK,https://glartek.com/,"Glartek has developed an IoT platform that allows the user to visualize the collected data in real time using AR-enabled mobile apps and devices. The company has developed a gateway called GLARCONNECT that can be used for colleting data from various sources and a cloud-based platform called GLARBOARD that can be used for storing the sensor data. The company was incubated by Startup Lisboa Incubator and has worked with clients like Unilever and H-farm.
An IOT platform for industry that gives super powers through augmented reality, saving time and money in your business.",Seed,"1,000,000",Safety,Emerging,2016,Portugal,Both,TRUE,,,,
"Fieldbit
",https://www.fieldbit.net/,"Fieldbit offers an enterprise cloud-based platform that combines smartglasses and augmented reality. Utilizing AR-enabled smartglasses, on-site engineers and technicians can access all required information immediately through the smartglasses allowing hands-free interaction with online data, panoramic view of different pieces of information, context-sensitive instructions and visual collaboration with experts. The platform supports multiple AR glasses including Epson Moverio BT-300, ODG R-7, Vuzix M300, and RealWear HMT-1",Series A,"2,210,000",Safety,Existing,2013,Israel,Both,TRUE,,,,
Heads Up Display,headsupsafe.com,HeadsUp is a small accessory that can be attached to the glasses and alerts the worker about the hazardous conditions in their working environment by blinking lights in front of their eyes. The device is equipped with sensors that continuously monitor environmental conditions. The company also provides a platform using which the authorities can monitor all the workers wearing the device and communicate with the worker in emergency situations. The company offers their device and platform services on a subscription basis.,Seed,"600,000",Safety,Emerging,2013,USA,Both,TRUE,,,,
Kinetic,wearkinetic.com,Kinetic formerly 1mmcorp is developer of a safety device that monitors workforce health and location on field. Kinetic's smart connected wearable devices are instrumental in preventing lifting injury and give actionable insights to reduce the risk of injury.,Series A,"6,300,000",Safety,Emerging,2014,USA,Both,TRUE,,,,
GetVu,http://www.getvuar.com/,"Augmented reality software for supply chain management. GetVu is a solutions provider on a mission to drive innovation through the rapidly emerging technologies of augmented reality and wearable devices. Our initial solutions focus will streamline supply chain management processes offering more accessibility to real-time data, optimized workflow efficiencies, and improved automation to manual labour processes.",Seed,"125,000",Safety,Emerging,2014,India,Both,TRUE,,,,
Levitate Technologies,levitatetech.com,"Levitate Technologies develops a wearable exoskeleton for industrial workers and professionals who are exposed to repetitive arm motion or static elevation of the arms. The wearable device has been named the Levitate Airframe, and can be worn all day by the worker. The device progressively activates the mechanical support system as the hands of the worker are raised.",Series A,"8,500,000",Safety,Emerging,2012,USA,Both,TRUE,,,,
ULS Robotics,ulsrobotics.com,"ULS Robotic designs and develops exoskeleton robots for industrial applications such as manufacturing, logistics, public safety, construction, and others. Its chief offering MARS is composed of the upper limb and shoulder control systems and comes with four degrees of freedom and a payload capacity of up to ten Kgs. Additionally, it works in integration with supporting learning algorithms that enable the same to understand human intention thereby achieving human-machine and collaborative integration. The company also offers HEMS which is a multi-purpose exoskeleton with functionalities like outer polyarticular skeletal steel, drive joints, and force feedback; and MARIS which is a robotic arm featuring twelve degrees of freedom and can be used for remote sensing purposes.",Seed,"700,000",Safety,Distant,2018,China,Both,TRUE,,,,
Genrobotic Innovations,genrobotics.org,"Genrobotics is a provider of robotic exoskeletons. The company specializes in making exoskeletons with RC Controlled Humanoid Robotic Systems and Artificial Intelligence. Products include Generation 1, Generation 2, Generation 2.5 and Bandicoot. Generation 1 is a 10 feet high robot that can be used for defense purpose, space application, weight lifting. Generation 2 uses a pneumatic feedback system which got applications in machine tool controlling, automobile steering and breaking, medical field etc. Generation 2.5 can lift weights around 400lbs without any external support. Bandicoot is a semi-automatic robotic system for manhole and sewer line cleaning to eliminate the manual scavenging for cleaning the manhole.",Seed,"500,000",Safety,Distant,2015,India,Both,TRUE,,,,
